index,date,county,state,fips,cases,deaths,daily_cases,daily_deaths,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,population,land_area,population_density,labor_force,employed,unemployed,unemployment_rate,some_college,bachelor_or_higher,high_school,less_than_high_school,poverty_rate,daily_cases_100k,daily_deaths_100k,party_DEMOCRAT
1275,2020-03-12,Androscoggin,Maine,23001,1,0.0,1.0,0.0,12.0,36.0,,,2.0,0.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.9325487489858532,0.0,1
1546,2020-03-13,Androscoggin,Maine,23001,1,0.0,0.0,0.0,-6.0,21.0,,,-3.0,4.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.0,0.0,1
1547,2020-03-13,Cumberland,Maine,23005,1,0.0,1.0,0.0,-6.0,25.0,-24.0,-15.0,-7.0,5.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,0.34485493677084733,0.0,1
1878,2020-03-14,Androscoggin,Maine,23001,1,0.0,0.0,0.0,-4.0,16.0,-16.0,,-1.0,2.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.0,0.0,1
1879,2020-03-14,Cumberland,Maine,23005,2,0.0,1.0,0.0,-7.0,19.0,66.0,-7.0,-1.0,3.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,0.34485493677084733,0.0,1
2265,2020-03-15,Androscoggin,Maine,23001,1,0.0,0.0,0.0,-5.0,27.0,,,-1.0,2.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.0,0.0,1
2266,2020-03-15,Cumberland,Maine,23005,10,0.0,8.0,0.0,-8.0,15.0,55.0,-12.0,-1.0,3.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,2.7588394941667786,0.0,1
2267,2020-03-15,Lincoln,Maine,23015,1,0.0,1.0,0.0,1.0,28.0,,,0.0,,33969.0,455.818,74.52316494741322,16276.0,15472.0,804.0,4.9,24.35425725647601,37.57014903185045,31.99539153380162,6.08020217787193,8.8,2.9438605787629895,0.0,1
2698,2020-03-16,Androscoggin,Maine,23001,1,0.0,0.0,0.0,-7.0,27.0,,,-14.0,6.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.0,0.0,1
2699,2020-03-16,Cumberland,Maine,23005,13,0.0,3.0,0.0,-15.0,22.0,31.0,-22.0,-22.0,10.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,1.034564810312542,0.0,1
2700,2020-03-16,Lincoln,Maine,23015,2,0.0,1.0,0.0,-5.0,29.0,,,-7.0,6.0,33969.0,455.818,74.52316494741322,16276.0,15472.0,804.0,4.9,24.35425725647601,37.57014903185045,31.99539153380162,6.08020217787193,8.8,2.9438605787629895,0.0,1
3186,2020-03-17,Androscoggin,Maine,23001,3,0.0,2.0,0.0,-22.0,14.0,,,-21.0,10.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,1.8650974979717063,0.0,1
3187,2020-03-17,Cumberland,Maine,23005,20,0.0,7.0,0.0,-33.0,3.0,-15.0,-29.0,-34.0,16.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,2.4139845573959313,0.0,1
3188,2020-03-17,Kennebec,Maine,23011,1,0.0,1.0,0.0,-21.0,13.0,-43.0,-12.0,-20.0,10.0,119980.0,867.524,138.30164929154697,60935.0,58128.0,2807.0,4.6,29.71219468390805,29.70994971264368,34.37163254310344,6.206223060344827,11.2,0.833472245374229,0.0,1
3189,2020-03-17,Lincoln,Maine,23015,3,0.0,1.0,0.0,-32.0,12.0,,,-20.0,,33969.0,455.818,74.52316494741322,16276.0,15472.0,804.0,4.9,24.35425725647601,37.57014903185045,31.99539153380162,6.08020217787193,8.8,2.9438605787629895,0.0,1
3190,2020-03-17,Oxford,Maine,23017,1,0.0,1.0,0.0,-19.0,7.0,,,-20.0,10.0,57202.0,2076.84,27.542805415920338,25594.0,24022.0,1572.0,6.1,30.24090563953889,21.11318193322749,40.47536872138239,8.170543705851223,13.0,1.7481906227054997,0.0,1
3191,2020-03-17,York,Maine,23031,1,0.0,1.0,0.0,-20.0,13.0,5.0,-14.0,-24.0,11.0,201169.0,990.713,203.05476964569962,109765.0,104294.0,5471.0,5.0,31.77368306403044,32.76418805499674,29.85097576914699,5.611153111825836,8.1,0.49709448274833595,0.0,1
3756,2020-03-18,Androscoggin,Maine,23001,3,0.0,0.0,0.0,-22.0,14.0,,,-26.0,11.0,107233.0,467.927,229.16608787268098,53905.0,51174.0,2731.0,5.1,33.29905228077484,22.92100604040825,35.56811081024787,8.211830868569049,11.7,0.0,0.0,1
3757,2020-03-18,Cumberland,Maine,23005,29,0.0,9.0,0.0,-35.0,1.0,69.0,-29.0,-39.0,16.0,289977.0,835.241,347.1776409443502,159617.0,151778.0,7839.0,4.9,25.4886223722012,49.80938483286972,20.36846185416572,4.333530940763373,8.6,3.103694430937626,0.0,1
3758,2020-03-18,Kennebec,Maine,23011,1,0.0,0.0,0.0,-22.0,11.0,-14.0,-13.0,-25.0,11.0,119980.0,867.524,138.30164929154697,60935.0,58128.0,2807.0,4.6,29.71219468390805,29.70994971264368,34.37163254310344,6.206223060344827,11.2,0.0,0.0,1
